user,class,latitude,longitude
Echo Charles,person,32.7157000,117.1611000
Jocko Willink,person,32.7157000,117.1611000
Rick L Yost,person,46.8443248,-71.2743272
Tim Ferriss,person,46.8443248,-71.2743272
Joe Rogan,person,32.7157000,117.1611000
Richard Branson,person,18.5500000,64.3500000
Ali Spagnola,person,34.0549350,-118.2444760
Official Chris Kyle,person,31.8160381,-99.5120986
Byron,person,34.0549350,-118.2444760
Vets2PM,person,28.0836269,-80.6081089
Patriot Boot Camp,person,39.7391536,-104.9847034
Dave Drach,person,40.0149856,-105.2705456
Spartan Media,person,27.9477595,-82.4584440
KC Chhipwadia,person,30.2711286,-97.7436995
Charlotte Creech,person,31.8160381,-99.5120986
Code Platoon,person,41.8755546,-87.6244212
Combat Flip Flops,person,47.5348778,-122.0432974
Grunt Style,person,41.9125286,-88.1347927
Justine Evirs,person,46.8443248,-71.2743272